ID;Gemeente;VO;MBO;HBO;WO;Inwoners
GM0547;Leiderdorp;1768;660;536;393;26743
GM1916;Leidschendam-Voorburg;3519;1470;1462;789;72588
GM0995;Lelystad;4297;2727;1303;316;75778
GM1640;Leudal;2048;1112;722;149;36426
GM0327;Leusden;1858;791;603;182;28969
GM0733;Lingewaal;706;346;166;44;11007
GM1705;Lingewaard;2965;1296;904;219;45818
GM0553;Lisse;1317;575;445;189;22393
GM0140;Littenseradiel;746;406;276;32;10948
GM0262;Lochem;2111;930;548;96;33308
GM0809;Loon op Zand;1342;669;547;101;23083
GM0331;Lopik;1035;504;290;67;13992
GM0024;Loppersum;598;386;158;47;10292
GM0168;Losser;1275;786;458;88;22554
GM1671;Maasdonk;784;451;288;57;11220
GM0263;Maasdriel;1475;706;409;138;24092
GM1641;Maasgouw;1233;630;427;93;24017
GM0556;Maassluis;1712;1017;608;211;31985
GM0935;Maastricht;4953;2692;4439;9179;121819
GM1663;De Marne;549;350;130;34;10336
GM0025;Marum;713;426;185;44;10382
GM0420;Medemblik;2751;1384;752;177;43248
GM0938;Meerssen;1176;471;422;150;19362
GM1908;Menameradiel;893;476;293;37;13727
GM1987;Menterwolde;698;485;165;35;12370
GM0119;Meppel;1950;1054;717;117;32726
GM0687;Middelburg (Z.);2840;1457;772;616;47523
GM1842;Midden-Delfland;1386;484;499;282;18251
GM1731;Midden-Drenthe;2087;1304;592;86;33422
GM0815;Mill en Sint Hubert;699;378;224;55;10906
GM0265;Millingen aan de Rijn;359;204;91;23;5924
GM1709;Moerdijk;2101;1102;638;124;36625
GM1955;Montferland;2094;1206;619;108;34834
GM0335;Montfoort;931;425;276;84;13621
GM0944;Mook en Middelaar;563;206;169;45;7827
GM0424;Muiden;436;108;113;52;6393
GM0425;Naarden;1357;252;248;136;17263
GM1740;Neder-Betuwe;1591;901;346;76;22593
GM0643;Nederlek;885;443;305;87;14131
GM0946;Nederweert;943;567;353;81;16785
GM0304;Neerijnen;760;396;166;51;12022
GM0356;Nieuwegein;3223;1620;1198;587;60895
GM0569;Nieuwkoop;1715;851;536;176;27082
GM0267;Nijkerk;2554;1336;779;196;40355
GM0268;Nijmegen;7823;3678;7202;11437;166382
GM1695;Noord-Beveland;377;210;83;6;7509
GM1699;Noordenveld;1967;922;447;139;31024
GM0171;Noordoostpolder;3064;1729;723;67;46284
GM0575;Noordwijk;1430;576;525;233;25671
GM0576;Noordwijkerhout;1043;414;339;115;15740
GM0820;Nuenen, Gerwen en Nederwetten;1526;541;526;144;22645
GM0302;Nunspeet;1719;1057;488;83;26628
GM0951;Nuth;837;437;346;65;15494
GM0579;Oegstgeest;1717;283;425;753;23153
GM0823;Oirschot;1193;606;419;83;17926
GM0824;Oisterwijk;1590;747;564;129;25770
GM1895;Oldambt;1998;1454;528;104;38748
GM0269;Oldebroek;1434;857;411;62;22774
GM0173;Oldenzaal;1910;1036;740;138;32200
GM1773;Olst-Wijhe;1140;662;358;58;17751
GM0175;Ommen;982;600;376;40;17314
GM0881;Onderbanken;459;214;163;39;7905
GM1586;Oost Gelre;1962;1092;658;80;29873
GM0826;Oosterhout;3240;1588;1126;244;53686
GM0085;Ooststellingwerf;1660;853;422;71;25836
GM0431;Oostzaan;622;251;187;71;9141
GM0432;Opmeer;753;409;236;45;11379
GM0086;Opsterland;1959;1102;531;100;29896
